TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.google.javascript.jscomp.TypedScopeCreator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.13636293370782096,2590,49
com.google.javascript.jscomp.TypedScopeCreator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.13636293370782096,2590,49
com.google.javascript.jscomp.TypedScopeCreator,BRANCH,0.006482982171799027,617,4
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder,BRANCH,0.0,485,0
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.0,2209,0
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder,METHOD,0.0,0,0
com.google.javascript.jscomp.TypedScopeCreator$AbstractScopeBuilder,METHOD,0.0,0,0
