TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer,METHOD,0.0,2,1
org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer,LINE,0.12142857142857143,140,17
